Symbol,Date,Open,High,Low,Close,Volume
LUCK,2021-06-23,909.0,917.0,901.0,902.1199951171875,236751
LUCK,2021-06-24,902.0,908.0,900.010009765625,905.3499755859375,296881
LUCK,2021-06-25,912.0,913.989990234375,875.0,880.6400146484375,820508
LUCK,2021-06-28,880.0,880.0,858.010009765625,861.4400024414062,779280
LUCK,2021-06-29,866.0,873.0,863.0,865.260009765625,290286
LUCK,2021-06-30,868.9000244140625,875.5,860.0,863.4400024414062,252524
LUCK,2021-07-01,866.0,894.989990234375,865.5,888.0,468976
LUCK,2021-07-02,891.989990234375,912.7000122070312,890.1400146484375,895.9299926757812,638686
LUCK,2021-07-05,894.9500122070312,899.9000244140625,878.5999755859375,881.2899780273438,123584
LUCK,2021-07-06,888.8800048828125,898.0,875.3099975585938,880.510009765625,545211
LUCK,2021-07-07,884.989990234375,884.989990234375,871.0,878.8400268554688,301338
LUCK,2021-07-08,884.7999877929688,910.4000244140625,884.7999877929688,908.6199951171875,861871
LUCK,2021-07-09,910.0,919.0,886.0,888.1900024414062,339184
LUCK,2021-07-12,890.0,892.0,880.0,881.97998046875,250163
LUCK,2021-07-13,888.27001953125,889.0,870.0,881.4199829101562,154716
LUCK,2021-07-14,885.0,891.8900146484375,880.010009765625,886.010009765625,162112
LUCK,2021-07-15,889.989990234375,893.989990234375,884.0,889.489990234375,127840
LUCK,2021-07-16,892.989990234375,924.0,889.0999755859375,911.530029296875,1052004
LUCK,2021-07-19,911.530029296875,911.530029296875,911.530029296875,911.530029296875,0
LUCK,2021-07-20,911.530029296875,911.530029296875,911.530029296875,911.530029296875,0
LUCK,2021-07-21,911.530029296875,911.530029296875,911.530029296875,911.530029296875,0
LUCK,2021-07-22,911.530029296875,911.530029296875,911.530029296875,911.530029296875,0
LUCK,2021-07-23,911.530029296875,911.530029296875,911.530029296875,911.530029296875,0
LUCK,2021-07-26,905.0,907.0,897.510009765625,900.8800048828125,196456
LUCK,2021-07-27,904.9500122070312,904.9500122070312,895.0,898.5999755859375,143699
LUCK,2021-07-28,905.0,907.4500122070312,891.0,892.6099853515625,194319
LUCK,2021-07-29,899.75,908.8699951171875,880.0,896.719970703125,456785
