Symbol,Date,Open,High,Low,Close,Volume
FFC,2021-06-23,106.02999877929688,107.0,106.0199966430664,106.5199966430664,442873
FFC,2021-06-24,106.5,107.19999694824219,106.0999984741211,107.05999755859375,801426
FFC,2021-06-25,106.30999755859375,107.47000122070312,106.30999755859375,107.19000244140625,317049
FFC,2021-06-28,106.80000305175781,108.0,106.80000305175781,107.01000213623047,823921
FFC,2021-06-29,107.05999755859375,107.3499984741211,106.19999694824219,106.5199966430664,650151
FFC,2021-06-30,107.0,107.0,106.0,106.0999984741211,275336
FFC,2021-07-01,106.69999694824219,106.98999786376953,106.48999786376953,106.5199966430664,123795
FFC,2021-07-02,106.79000091552734,107.19999694824219,106.5999984741211,106.98999786376953,201296
FFC,2021-07-05,106.51000213623047,107.0,105.80000305175781,106.73999786376953,341050
FFC,2021-07-06,106.5,106.80000305175781,106.19999694824219,106.27999877929688,283289
FFC,2021-07-07,106.30000305175781,106.54000091552734,105.80000305175781,106.0,234458
FFC,2021-07-08,107.25,108.0999984741211,106.0,107.8499984741211,1139485
FFC,2021-07-09,107.5,107.6500015258789,106.95999908447266,107.01000213623047,420146
FFC,2021-07-12,107.01000213623047,107.30000305175781,106.80000305175781,107.1500015258789,182358
FFC,2021-07-13,106.69999694824219,107.5999984741211,106.69999694824219,107.56999969482422,259052
FFC,2021-07-14,107.11000061035156,107.75,107.0,107.0999984741211,260896
FFC,2021-07-15,107.0,107.0,106.5,106.58999633789062,435850
FFC,2021-07-16,107.0,107.05000305175781,106.5,106.83999633789062,126176
FFC,2021-07-19,106.75,107.75,106.5999984741211,107.5199966430664,317924
FFC,2021-07-20,107.5199966430664,107.5199966430664,107.5199966430664,107.5199966430664,0
FFC,2021-07-21,107.5199966430664,107.5199966430664,107.5199966430664,107.5199966430664,0
FFC,2021-07-22,107.5199966430664,107.5199966430664,107.5199966430664,107.5199966430664,0
FFC,2021-07-23,107.5199966430664,107.5199966430664,107.5199966430664,107.5199966430664,0
FFC,2021-07-26,107.94999694824219,108.0,107.63999938964844,107.9000015258789,401660
FFC,2021-07-27,107.98999786376953,109.5999984741211,107.98999786376953,109.4000015258789,783441
FFC,2021-07-28,109.44999694824219,109.61000061035156,108.9000015258789,109.26000213623047,212653
FFC,2021-07-29,109.25,109.5999984741211,108.52999877929688,109.2300033569336,492363
FFC,2021-07-30,109.23999786376953,109.23999786376953,106.25,106.58000183105469,719401
FFC,2021-08-02,106.5,107.05000305175781,106.0,106.54000091552734,421079
FFC,2021-08-03,107.0,107.5,106.41000366210938,106.55000305175781,766400
FFC,2021-08-04,106.94999694824219,106.94999694824219,106.0,106.36000061035156,267819
FFC,2021-08-05,106.5,106.9000015258789,106.25,106.33000183105469,90976
FFC,2021-08-06,106.5,106.6500015258789,106.0,106.5,69110
FFC,2021-08-09,106.69999694824219,106.80000305175781,106.5,106.54000091552734,235487
FFC,2021-08-10,106.79000091552734,106.80000305175781,105.9000015258789,106.0199966430664,177932
FFC,2021-08-11,106.5999984741211,106.51000213623047,106.0,106.23999786376953,125908
FFC,2021-08-12,106.05999755859375,106.30000305175781,105.68000030517578,106.0199966430664,320725
FFC,2021-08-13,106.0,106.5,105.80000305175781,106.01000213623047,171961
FFC,2021-08-16,106.01000213623047,106.30000305175781,105.55000305175781,105.62999725341797,112793
FFC,2021-08-17,105.5,106.0,105.5,105.5199966430664,131977
FFC,2021-08-18,105.5199966430664,105.5199966430664,105.5199966430664,105.5199966430664,0
FFC,2021-08-19,105.5199966430664,105.5199966430664,105.5199966430664,105.5199966430664,0
FFC,2021-08-20,105.75,107.0,105.08000183105469,106.43000030517578,313386
FFC,2021-08-23,106.5999984741211,107.5,106.0,106.30000305175781,222060
FFC,2021-08-24,106.0,106.5,105.5,105.56999969482422,325833
FFC,2021-08-25,106.0,106.19999694824219,105.69999694824219,105.98999786376953,535232
FFC,2021-08-26,105.98999786376953,106.0999984741211,105.5999984741211,105.75,110269
FFC,2021-08-27,105.5999984741211,106.0999984741211,105.0,105.13999938964844,471100
FFC,2021-08-30,105.5,105.80000305175781,105.44999694824219,105.52999877929688,35031
FFC,2021-08-31,106.0,106.0,105.30000305175781,105.98999786376953,116998
FFC,2021-09-01,105.98999786376953,106.0,105.55999755859375,105.88999938964844,255956
FFC,2021-09-02,105.9000015258789,105.9000015258789,105.4000015258789,105.56999969482422,222380
FFC,2021-09-03,105.94999694824219,105.94999694824219,105.55000305175781,105.75,132101
FFC,2021-09-06,105.9000015258789,106.02999877929688,105.5,105.5199966430664,209264
FFC,2021-09-07,105.94999694824219,106.30000305175781,105.44999694824219,105.79000091552734,295472
FFC,2021-09-08,105.55000305175781,106.05000305175781,105.5,105.54000091552734,380014
FFC,2021-09-09,105.5,107.0,105.02999877929688,106.2699966430664,433651
FFC,2021-09-10,106.0,106.5,106.0,106.05000305175781,123163
FFC,2021-09-13,106.48999786376953,106.5,105.4000015258789,106.0,769231
FFC,2021-09-14,106.0,106.69000244140625,105.8499984741211,106.55999755859375,654687
FFC,2021-09-15,106.88999938964844,106.88999938964844,106.0999984741211,106.54000091552734,749368
FFC,2021-09-16,106.0999984741211,106.69999694824219,106.05000305175781,106.45999908447266,267156
FFC,2021-09-17,106.0,109.5,105.98999786376953,109.04000091552734,1850620
FFC,2021-09-20,106.0,106.44000244140625,105.0999984741211,105.95999908447266,292267
FFC,2021-09-21,105.95999908447266,105.95999908447266,105.95999908447266,105.95999908447266,0
FFC,2021-09-22,105.11000061035156,105.23999786376953,104.0,104.2699966430664,315685
FFC,2021-09-23,105.69000244140625,105.69000244140625,104.0,104.33000183105469,300541
FFC,2021-09-24,105.38999938964844,105.38999938964844,103.80000305175781,104.01000213623047,349184
FFC,2021-09-27,104.69000244140625,105.1500015258789,104.5999984741211,105.0999984741211,556450
FFC,2021-09-28,105.52999877929688,105.52999877929688,104.5999984741211,104.94999694824219,498215
FFC,2021-09-29,105.0,105.37999725341797,103.75,104.0999984741211,2193396
FFC,2021-09-30,104.38999938964844,104.38999938964844,101.55000305175781,102.05999755859375,1461163
FFC,2021-10-01,102.0,102.5,101.26000213623047,101.47000122070312,452986
FFC,2021-10-04,101.47000122070312,101.47000122070312,100.5,100.80999755859375,954061
FFC,2021-10-05,101.0,101.05000305175781,99.5,99.6500015258789,1593133
FFC,2021-10-06,99.08000183105469,100.0,99.08000183105469,99.31999969482422,458614
FFC,2021-10-07,99.9000015258789,100.0,99.01000213623047,99.81999969482422,840642
FFC,2021-10-08,99.9000015258789,100.0,98.4000015258789,98.77999877929688,1230782
FFC,2021-10-11,99.0,99.0,97.0,97.27999877929688,1037945
FFC,2021-10-12,97.20999908447266,97.5,95.4000015258789,96.08999633789062,2306128
FFC,2021-10-13,96.80000305175781,97.0999984741211,96.01000213623047,96.43000030517578,3052154
FFC,2021-10-14,96.25,101.9000015258789,96.25,99.47000122070312,880796
FFC,2021-10-15,99.5,101.5,97.51000213623047,100.4800033569336,448944
FFC,2021-10-18,100.5,100.5,98.4000015258789,99.18000030517578,865481
FFC,2021-10-19,99.18000030517578,99.18000030517578,99.18000030517578,99.18000030517578,0
FFC,2021-10-20,100.48999786376953,100.55000305175781,99.05000305175781,99.70999908447266,722796
FFC,2021-10-21,99.83999633789062,100.62999725341797,99.5,99.9000015258789,4940251
FFC,2021-10-22,100.80000305175781,100.8499984741211,99.0,99.22000122070312,1216962
FFC,2021-10-25,99.75,100.25,99.75,99.22000122070312,184163
FFC,2021-10-26,99.80000305175781,100.5,99.79000091552734,100.11000061035156,320509
FFC,2021-10-27,100.44999694824219,103.0,100.0,102.12000274658203,1156362
FFC,2021-10-28,102.01000213623047,102.5,101.83000183105469,102.4000015258789,361594
FFC,2021-10-29,102.25,103.1500015258789,102.25,102.79000091552734,1340401
FFC,2021-11-01,103.0,104.0999984741211,103.0,103.9800033569336,1502190
FFC,2021-11-02,103.69999694824219,104.1500015258789,103.69999694824219,103.98999786376953,1232905
FFC,2021-11-03,104.5,105.0,103.75,104.91000366210938,1381543
FFC,2021-11-04,104.94999694824219,105.58000183105469,104.5,105.19999694824219,822730
FFC,2021-11-05,101.98999786376953,102.5,101.0,101.76000213623047,667451
FFC,2021-11-08,101.5,104.0,101.5,103.58000183105469,1116785
FFC,2021-11-09,103.88999938964844,105.0999984741211,103.80000305175781,104.22000122070312,2145962
FFC,2021-11-10,104.91000366210938,105.1500015258789,104.0,104.8499984741211,764631
FFC,2021-11-11,104.55999755859375,105.98999786376953,104.55000305175781,105.56999969482422,780033
FFC,2021-11-12,105.9000015258789,105.94999694824219,104.25,104.56999969482422,506321
FFC,2021-11-15,104.5,105.98999786376953,104.0,105.69999694824219,777170
FFC,2021-11-16,105.75,106.19999694824219,105.4000015258789,105.97000122070312,962951
FFC,2021-11-17,105.97000122070312,106.5,105.4000015258789,106.06999969482422,746088
FFC,2021-11-18,106.3499984741211,106.5,105.01000213623047,105.7300033569336,1101426
FFC,2021-11-19,105.08999633789062,106.80000305175781,105.08999633789062,106.29000091552734,1472457
FFC,2021-11-22,106.0,106.0,104.75,105.02999877929688,387223
FFC,2021-11-23,105.5,105.5,104.01000213623047,104.0999984741211,470257
FFC,2021-11-24,104.48999786376953,104.48999786376953,101.0,101.02999877929688,1233337
FFC,2021-11-25,102.48999786376953,102.48999786376953,100.05000305175781,100.13999938964844,1007375
FFC,2021-11-26,100.9000015258789,101.75,99.9000015258789,100.83000183105469,715598
FFC,2021-11-29,100.83000183105469,103.25,100.20999908447266,102.62999725341797,741128
FFC,2021-11-30,102.6500015258789,103.19999694824219,100.0999984741211,100.80999755859375,10728365
FFC,2021-12-01,100.98999786376953,102.0199966430664,100.19999694824219,101.6500015258789,1175149
FFC,2021-12-02,101.9000015258789,101.9000015258789,98.05999755859375,99.05000305175781,1680465
FFC,2021-12-03,99.01000213623047,101.25,98.0,99.37999725341797,1536719
FFC,2021-12-06,100.0,100.30000305175781,98.55000305175781,98.61000061035156,454995
FFC,2021-12-07,99.80000305175781,100.0,99.0,99.20999908447266,780006
FFC,2021-12-08,99.98999786376953,99.98999786376953,98.0,98.87999725341797,649092
FFC,2021-12-09,99.0,100.0,98.5,99.76000213623047,211230
FFC,2021-12-10,100.0,101.19999694824219,99.5,100.55000305175781,429324
FFC,2021-12-13,100.75,101.0,99.88999938964844,100.41999816894531,473128
FFC,2021-12-14,100.19999694824219,100.9000015258789,100.05000305175781,100.37999725341797,357369
FFC,2021-12-15,100.8499984741211,101.19999694824219,100.25,100.61000061035156,795547
FFC,2021-12-16,100.5,100.5,99.23999786376953,99.44999694824219,547028
FFC,2021-12-17,99.01000213623047,100.0,98.5999984741211,99.04000091552734,1123166
FFC,2021-12-20,99.6500015258789,99.9000015258789,98.75,99.05999755859375,1097887
FFC,2021-12-21,99.0999984741211,99.75,98.5,98.9800033569336,469785
FFC,2021-12-22,99.0,99.48999786376953,98.9000015258789,99.41000366210938,283791
FFC,2021-12-23,99.25,99.55000305175781,98.98999786376953,98.98999786376953,985160
FFC,2021-12-24,99.48999786376953,99.48999786376953,98.94999694824219,98.98999786376953,219565
FFC,2021-12-27,99.38999938964844,99.38999938964844,98.0,98.22000122070312,407004
FFC,2021-12-28,98.19999694824219,98.73999786376953,97.25,97.58999633789062,704103
FFC,2021-12-29,97.5999984741211,98.5999984741211,97.5999984741211,98.05999755859375,480311
FFC,2021-12-30,98.44999694824219,99.0,98.0,98.5,306942
FFC,2021-12-31,98.75,100.9000015258789,98.75,100.26000213623047,780087
FFC,2022-01-03,100.2699966430664,101.5,100.0,101.25,341757
FFC,2022-01-04,101.6500015258789,101.75,100.69999694824219,101.04000091552734,757324
FFC,2022-01-05,101.0,101.88999938964844,100.5999984741211,101.31999969482422,304109
FFC,2022-01-06,101.1500015258789,102.0,101.0,101.7699966430664,907855
FFC,2022-01-07,101.5,103.9800033569336,101.5,103.75,1003110
FFC,2022-01-10,103.80000305175781,104.88999938964844,103.0999984741211,103.70999908447266,978888
FFC,2022-01-11,103.25,104.55000305175781,103.25,103.98999786376953,646293
FFC,2022-01-12,103.3499984741211,104.98999786376953,103.3499984741211,104.69000244140625,761744
FFC,2022-01-13,104.5,104.69000244140625,103.51000213623047,104.19999694824219,386159
FFC,2022-01-14,104.19999694824219,105.25,104.0,104.97000122070312,737440
FFC,2022-01-17,104.98999786376953,105.55000305175781,104.6500015258789,105.37000274658203,509980
FFC,2022-01-18,105.1500015258789,105.48999786376953,105.0,105.30000305175781,367877
FFC,2022-01-19,104.5,105.30000305175781,104.0199966430664,104.19999694824219,157210
FFC,2022-01-20,103.8499984741211,104.30000305175781,103.5,104.08999633789062,306981
FFC,2022-01-21,104.08999633789062,104.5,103.69999694824219,104.12999725341797,333382
FFC,2022-01-24,104.0,105.69999694824219,104.0,105.54000091552734,969123
FFC,2022-01-25,105.69999694824219,107.0,105.25,106.62999725341797,1349241
FFC,2022-01-26,107.08999633789062,107.08999633789062,105.51000213623047,105.94000244140625,370904
FFC,2022-01-27,105.5999984741211,106.0,105.51000213623047,105.66000366210938,464406
FFC,2022-01-28,106.23999786376953,106.4000015258789,105.69000244140625,106.0,224451
FFC,2022-01-31,106.5,107.1500015258789,106.0,106.69000244140625,1320640
FFC,2022-02-01,107.0,108.4800033569336,106.80000305175781,108.33999633789062,967013
FFC,2022-02-02,108.5,108.5,107.94999694824219,108.37999725341797,763788
FFC,2022-02-03,108.98999786376953,108.98999786376953,107.30000305175781,107.51000213623047,881667
FFC,2022-02-04,107.94999694824219,111.80000305175781,107.80999755859375,109.04000091552734,4942075
FFC,2022-02-07,109.75,110.0,109.05000305175781,109.37000274658203,707098
FFC,2022-02-08,109.5,111.0,109.26000213623047,109.69000244140625,2096094
FFC,2022-02-09,110.0,111.9000015258789,109.51000213623047,110.69000244140625,5668246
FFC,2022-02-10,111.0,111.19999694824219,109.48999786376953,110.05999755859375,1050429
FFC,2022-02-11,109.51000213623047,111.0,109.5,110.9800033569336,487711
FFC,2022-02-14,110.01000213623047,111.08999633789062,108.5,109.06999969482422,1181222
FFC,2022-02-15,109.0999984741211,109.6500015258789,108.1500015258789,109.02999877929688,475072
FFC,2022-02-16,108.8499984741211,109.5,108.69999694824219,109.3499984741211,359964
FFC,2022-02-17,109.69999694824219,110.0,108.5,109.83000183105469,308772
FFC,2022-02-18,109.4000015258789,110.11000061035156,109.0,109.8499984741211,506503
FFC,2022-02-21,110.0,110.25,109.01000213623047,109.12999725341797,170671
FFC,2022-02-22,109.0,109.12999725341797,107.77999877929688,108.66999816894531,261579
FFC,2022-02-23,108.69999694824219,108.69999694824219,107.5,108.36000061035156,253751
FFC,2022-02-24,107.5,108.47000122070312,105.80000305175781,106.0,543116
FFC,2022-02-25,106.25,108.25,105.9800033569336,107.91000366210938,1279826
FFC,2022-02-28,108.25,109.88999938964844,107.0199966430664,109.2300033569336,1035021
FFC,2022-03-01,110.0,110.0,108.5999984741211,108.87000274658203,228198
FFC,2022-03-02,108.51000213623047,108.75,107.25,108.02999877929688,349436
FFC,2022-03-03,108.19999694824219,108.19999694824219,107.25,107.98999786376953,306805
FFC,2022-03-04,108.0,108.5999984741211,107.5,108.45999908447266,387676
FFC,2022-03-07,108.0,108.0,107.0,107.4000015258789,92990
FFC,2022-03-08,107.30000305175781,108.0,106.5999984741211,106.95999908447266,361974
FFC,2022-03-09,107.83999633789062,108.05000305175781,106.80000305175781,107.9800033569336,511458
FFC,2022-03-10,108.0,108.23999786376953,107.0,107.19000244140625,595788
FFC,2022-03-11,107.80000305175781,107.83999633789062,107.0,107.08000183105469,393418
FFC,2022-03-14,110.0,110.5999984741211,108.5,109.51000213623047,1355051
FFC,2022-03-15,109.25,110.0,109.0199966430664,109.94000244140625,266648
FFC,2022-03-16,109.97000122070312,110.0,109.5,109.94000244140625,797895
FFC,2022-03-17,105.1500015258789,106.0,105.1500015258789,105.69000244140625,218762
FFC,2022-03-18,106.0,109.37999725341797,104.1500015258789,107.7300033569336,1784972
FFC,2022-03-21,108.9800033569336,111.0,108.0,110.41999816894531,1642185
FFC,2022-03-22,110.41999816894531,110.8499984741211,109.7699966430664,110.05999755859375,2638601
